State,Party,Democratic,Republican,Other,Politician,Lawyer,OtherOccupation,SenatorName,No of opponents,Votes,% Votes,Wiki?,Google?,Newapi?,DOB,Education1,Education2,Occupation1,Occupation2, #Orgs,OrgsOfInfluence?,#Events,EventsOfImportance?,WikiCareerSuccessScore,WikiGeneric,#Articles,ArticleInfluenceScore,#PostiveArticles,#NegativeArticles,#NeutralArticles
Ohio,Other,0,0,1,0,0,1,Joe DeMare,6,3123,0.001126652,0,0,1,,,,,,0,,0,,,,1,,,,
Oklahoma,Libertarian,0,0,1,0,0,0,Robert Murphy,2,1537,0.588888889,1,1,1,,,,,,2,,1,,,,20,,,,
Oklahoma,Libertarian,0,0,1,0,0,1,Dax Ewbank,2,1073,0.411111111,0,0,0,,,,,,0,,0,,,,0,,,,
Oregon,Democratic,1,0,0,1,0,0,Ron Wyden,9,501903,0.536628785,1,1,1,1949,,,,,3,,3,,,,20,,,,
Oregon,Democratic,1,0,0,0,0,1,Kevin Stine,9,78287,0.08370354,0,0,1,,,,,,0,,0,,,,9,,,,
Oregon,Democratic,1,0,0,0,0,1,Paul Weaver,9,20346,0.021753704,0,1,1,,,,,,2,,3,,,,20,,,,
Oregon,Republican,0,1,0,1,0,0,Mark Callahan,9,123473,0.13201588,1,1,1,1977,,,,,0,,3,,,,20,,,,
Oregon,Republican,0,1,0,0,0,1,Sam Carpenter,9,104494,0.111723756,1,1,1,1987,,,,,1,,1,,,,20,,,,
Oregon,Republican,0,1,0,0,0,1,Faye Stewart,9,57399,0.061370336,0,0,1,,,,,,0,,0,,,,3,,,,
Oregon,Republican,0,1,0,0,0,1,Dan Laschober,9,34157,0.036520263,0,0,0,,,,,,0,,0,,,,0,,,,
Oregon,Independent,0,0,1,0,0,1,Steven Reynolds,9,10497,0.011223269,0,1,1,,,,,,1,,2,,,,20,,,,
Oregon,Independent,0,0,1,0,0,1,Marvin Sandnes,9,4733,0.005060468,0,0,0,,,,,,0,,0,,,,0,,,,
Pennsylvania,Republican,0,1,0,1,0,0,Pat Toomey,5,1342941,0.460090453,1,1,1,1961,,,,,3,,3,,,,20,,,,
Pennsylvania,Democratic,1,0,0,1,0,0,Katie McGinty,5,669774,0.229464007,1,1,1,1963,,,,,1,,2,,,,2,,,,
Pennsylvania,Democratic,1,0,0,1,0,0,Joe Sestak,5,513221,0.175829081,1,1,0,1951,,,,,3,,3,,,,0,,,,
Pennsylvania,Democratic,1,0,0,0,0,0,John Fetterman,5,307090,0.105208775,1,1,1,,,,,,2,,3,,,,2,,,,
Pennsylvania,Democratic,1,0,0,0,0,1,Joseph Vodvarka,5,85837,0.029407684,0,1,0,,,,,,0,,1,,,,0,,,,
Utah,Democratic,1,0,0,0,0,1,Misty K. Snow,2,28928,0.593979713,0,1,0,,,,,,0,,3,,,,0,,,,
Utah,Democratic,1,0,0,0,0,1,Jonathan Swinton,2,19774,0.406020287,0,1,1,,,,,,0,,1,,,,6,,,,
Vermont,Democratic,1,0,0,1,1,0,Patrick Leahy,2,192243,0.961994215,1,1,1,1940,,,,,3,,3,,,,20,,,,
Vermont,Democratic,1,0,0,0,0,0,Cris Ericson,2,7595,0.038005785,1,1,1,,,,,,0,,3,,,,1,,,,
Washington,Democratic,1,0,0,1,0,0,Patty Murray,17,745421,0.538211663,1,1,1,1950,,,,,3,,3,,,,20,,,,
Washington,Republican,0,1,0,0,0,0,Chris Vance,17,381004,0.275093935,1,1,1,,,,,,1,,2,,,,20,,,,
Washington,Republican,0,1,0,0,0,1,Eric John Markus,17,57825,0.041751023,0,0,1,,,,,,0,,0,,,,20,,,,
Washington,Democratic,1,0,0,0,0,1,Phil Cornell,17,46460,0.033545223,0,0,1,,,,,,0,,0,,,,20,,,,
Washington,Republican,0,1,0,0,0,1,Scott Nazarino,17,41542,0.02999431,0,0,0,,,,,,0,,0,,,,0,,,,
Washington,Libertarian,0,0,1,0,0,1,Mike Luke,17,20988,0.015153834,0,1,1,,,,,,3,,3,,,,20,,,,
Washington,Democratic,1,0,0,0,0,1,Mohammad Said,17,13362,0.009647681,0,1,1,,,,,,2,,3,,,,20,,,,
Washington,Independent,0,0,1,0,0,1,Donna Rae,17,11472,0.008283056,0,1,1,,,,,,1,,2,,,,20,,,,
Washington,Independent,0,0,1,0,0,1,Ted Cummings,17,11028,0.007962478,0,0,1,,,,,,0,,0,,,,20,,,,
Washington,Independent,0,0,1,0,0,1,Sam Wright,17,10751,0.007762477,1,1,1,1848,,,,,3,,2,,,,20,,,,
Washington,Republican,0,1,0,0,0,0,Uncle Mover,17,8569,0.006187021,1,1,1,1953,,,,,0,,1,,,,5,,,,
Washington,Independent,0,0,1,0,0,1,Jeremy Teuton,17,7991,0.005769692,0,0,0,,,,,,0,,0,,,,0,,,,
Washington,Democratic,1,0,0,0,0,1,Thor Amundson,17,7906,0.00570832,0,0,0,,,,,,0,,0,,,,0,,,,
Washington,Independent,0,0,1,0,0,1,Chuck Jackson,17,6318,0.004561746,1,1,1,1937,,,,,3,,3,,,,20,,,,
Washington,Independent,0,0,1,0,0,1,Pano Churchill,17,5150,0.003718422,0,0,1,,,,,,0,,0,,,,11,,,,
Washington,Independent,0,0,1,0,0,1,Zach Haller,17,5092,0.003676545,0,0,1,,,,,,0,,0,,,,1,,,,
Washington,Independent,0,0,1,0,0,1,Alex Tsimerman,17,4117,0.002972572,0,0,0,,,,,,0,,0,,,,0,,,,
Wisconsin,Democratic,1,0,0,1,1,0,Russ Feingold,2,303282,0.9013722,1,1,1,1953,,,,,3,,1,,,,20,,,,
Wisconsin,Democratic,1,0,0,0,0,1,Scott Harbach,2,33185,0.0986278,0,0,0,,,,,,0,,0,,,,0,,,,
