,0,1,2
141,Joe Heck,Philadelphia College of Osteopathic Medicine,"The Philadelphia College of Osteopathic Medicine is a private, non-profit graduate college, with a main campus located on 17 acres in Philadelphia, in the US state Pennsylvania, and an additional campus located on 23 acres in Suwanee, Georgia. "
142,Joe Heck,Vets For Freedom,"Vets for Freedom is an American political advocacy organization founded in 2006 by veterans of the Iraq and Afghan wars, with connections to Republican Party leaders. The group was initially founded as a 527 group.
"
143,Sharron Angle,SeneGence,"SeneGence International, Inc. is a privately owned American multi-level marketing company which sells skincare and makeup products. The company was founded in April 1999 by Joni Rogers-Kante who serves as CEO and chair. The company is also commonly known for its LipSense product line. "
144,Sharron Angle,National Association for Gun Rights,The National Association for Gun Rights is a conservative gun rights advocacy group in the United States. They maintain an affiliated PAC and a non-profit legal foundation. 
145,Sharron Angle,Club for Growth,"The Club for Growth is a 501 conservative organization active in the United States, with an agenda focused on cutting taxes and other economic issues. "
146,Thomas Heck,ZDF,"Zweites Deutsches Fernsehen, usually shortened to ZDF, is a German public-service television broadcaster based in Mainz, Rhineland-Palatinate. It is run as an independent nonprofit institution, which was founded by all federal states of Germany. ZDF is financed by television licence fees and advertising revenues.
"
147,Eddie Hamilton,Hamilton Red Wings,"The Hamilton Red Wings were a junior ice hockey team in the Ontario Hockey Association from 1960 to 1974. The team was based in Hamilton, Ontario, at the Barton Street Arena, also known as the Hamilton Forum."
148,Eddie Hamilton,Oklahoma State Cowboys men's basketball,"The Oklahoma State Cowboys basketball team represents Oklahoma State University in Stillwater, Oklahoma, United States in NCAA Division I men's basketball competition. The Cowboys currently compete in the Big 12 Conference.
Since 1938, the team has played its home games in Gallagher-Iba Arena. "
149,Eddie Hamilton,Producers Releasing Corporation,"Producers Releasing Corporation was one of the less prestigious of the Hollywood film studios. It was considered a prime example of what was called ""Poverty Row"", a term originally applied to a stretch of Gower Street in Hollywood known for being the headquarters of a plethora of low-budget production companies, mainly because the rents were cheap. "
150,Robert Leeds,Leeds Trinity University,"Leeds Trinity University is a public university in the town of Horsforth, near Leeds, West Yorkshire, England. Originally established to provide qualified teachers to Catholic schools, it gradually expanded and now offers foundation, undergraduate, and postgraduate degrees in a range of humanities and social sciences.
"
151,Robert Leeds,Roman Catholic Diocese of Leeds,"The Roman Catholic Diocese of Leeds is a Roman Catholic diocese of the Latin Rite centred on Leeds Cathedral in the city of Leeds in West Yorkshire, England. "
152,Robert Leeds,"Mount St Mary's Catholic High School, Leeds","Mount Saint Mary's School is a Roman Catholic secondary school in Leeds, England."
153,Kelly Ayotte,Citizens for Responsible Energy Solutions,"Citizens for Responsible Energy Solutions is an American non-profit organization based in Washington, D.C. that advocates for clean energy policy solutions in the United States. "
154,Kelly Ayotte,Nashua High School South,"Nashua High School South, formerly Nashua High School, is a public high school located in Nashua, New Hampshire. The school's current location was erected in 1975 with its first class graduating in June 1976. "
155,Maggie Hassan,Northeastern University School of Law,Northeastern University School of Law is the law school of Northeastern University in Boston. The School of Law is nationally recognized for its public interest law and cooperative legal education programs.
156,Maggie Hassan,Market Basket,"DeMoulas Super Markets, Inc., under the trade name Market Basket, is a chain of 79 supermarkets in New Hampshire, Massachusetts, and Maine in the United States, with headquarters in Tewksbury, Massachusetts. "
157,Maggie Hassan,Lincoln-Sudbury Regional High School,"Lincoln-Sudbury Regional High School is a public regional high school located in Sudbury, Massachusetts serving the communities of Sudbury and Lincoln, Massachusetts. The school building was replaced prior to the 2004–2005 academic year."
158,Chuck Schumer,Humanitarian Law Project,"The Humanitarian Law Project is a U.S.-based non-profit organization, working to protect human rights and promote ""the peaceful resolution of conflict by using established international human rights laws and humanitarian law.""
"
159,Chuck Schumer,United States Sentencing Commission,The United States Sentencing Commission is an independent agency of the judicial branch of the federal government of the United States. It is responsible for articulating the sentencing guidelines for the United States federal courts. 
160,Richard Burr,Richard J. Reynolds High School,"Richard J. Reynolds High School now the Richard J. Reynolds Magnet School for the Visual and Performing Arts is a high school in the Winston-Salem/Forsyth County Schools located in Winston-Salem, North Carolina. Named for R. J. Reynolds, the founder of the R. J. "
161,Richard Burr,Watchdog.org,"Watchdog.org is a network of American news websites that features reporting on state and local government from a conservative perspective. It is a project of the Franklin Center for Government and Public Integrity, an online news organization. Watchdog posts stories on Watchdog websites and syndicates them. "
162,Richard Burr,Regnery Publishing,"Regnery Publishing is a conservative book publisher based in Washington, D.C. An imprint of Salem Media Group, it is led by president Marji Ross. The company was founded by Henry Regnery in 1947.
"
163,Paul Wright,Los Angeles Salsa,"The Los Angeles Salsa was a refounded American Professional Soccer League franchise. The club played on the campus of California State University, Fullerton at Titan Stadium in Orange County, California. "
164,Paul Wright,Diocese of Rochester,The Diocese of Rochester is a Church of England diocese in the English county of Kent and the Province of Canterbury. The cathedral church of the diocese is Rochester Cathedral in the former city of Rochester. 
165,Deborah Ross,Norilana Books,"Norilana Books is an independent publishing company, founded in August 2006 and based in. It is operated and owned by Vera Nazarian. "
166,Deborah Ross,Goddard College,"Goddard College is a low-residency college with three locations in the United States: Plainfield, Vermont; Port Townsend, Washington; and Seattle, Washington. The college offers undergraduate and graduate degree programs. "
167,Chris Rey,Survivor Series,"Survivor Series is an annual professional wrestling pay-per-view event held in November by WWE. It is the second longest running pay-per-view event in WWE history and one of the ""Big Four"" events, along with WrestleMania, Royal Rumble, and SummerSlam, as it is one of the original four pay-per-views produced by WWE."
168,Kevin Griffin,River Oaks School,"River Oaks School is a private K–12 school in Monroe, Louisiana. The school was founded in 1970 as a segregation academy."
169,John Hoeven,Bank of North Dakota,"The Bank of North Dakota is a state-owned-run financial institution, based in Bismarck, North Dakota. It is the only state-owned facility of its type in the United States other than the Puerto Rico Government Development Bank."
170,John Hoeven,Blue Flint Ethanol,"Blue Flint Ethanol is an bioethanol producing company and a production plant with a same name, located in Underwood, North Dakota approximately 50 miles north of Bismarck. "
171,John Hoeven,Ripon Society,"The Ripon Society is an American centrist Republican public policy organization based in Washington, D.C. It produces The Ripon Forum, the U.S.'s longest running Republican thought and opinion journal, as well as The Ripon Advance, a daily news publication.
"
172,Rob Portman,Cincinnati Country Day School,"Cincinnati Country Day School is a private, Independent School located in Indian Hill, Ohio, a suburb of Cincinnati."
173,Rob Portman,International Conservation Caucus Foundation,"The International Conservation Caucus Foundation is a non-partisan 501 educational foundation based in Washington, D.C. ICCF's stated mission is ""to advance U.S. leadership in international conservation through public and private partnerships and to develop the next generation of conservation leaders in the U.S. "
174,Rob Portman,University of Michigan Law School,"The University of Michigan Law School is the law school of the University of Michigan, in Ann Arbor. Founded in 1859, the school offers Juris Doctor, Master of Laws, and Doctor of Juridical Science degree programs.
"
175,Ted Strickland,Asbury Theological Seminary,"Asbury Theological Seminary is an evangelical, multi-denominational, graduate institution that offers a variety of master's degree and postgraduate degree programs through the schools of Biblical Interpretation and Proclamation, Theology and Formation, Practical Theology, World Mission and Evangelism, and Postgraduate Studies. "
176,Ted Strickland,National Board for Professional Teaching Standards,"The National Board for Professional Teaching Standards is a nonpartisan, nonprofit organization in the United States, dedicated to promoting excellence in education. "
177,Ted Strickland,Asbury University,"Asbury University, formerly Asbury College, is a Christian liberal arts institution located in Wilmore, Kentucky, United States. Although it is a nondenominational school, the college's foundation stems from a Wesleyan-Holiness tradition. The school offers 50 majors across 17 departments. Primarily a four-year college, Asbury was ranked in the third tier of liberal arts colleges by U.S. News &amp; World Report in 2008. Asbury University's freshman retention rate is above 85 percent. "
178,Robert Murphy,Three Village Central School District,"Three Village Central School District is a school district located in Long Island, New York. It serves Setauket, East Setauket, Stony Brook, Poquott, Head of the Harbor, Old Field, and small portions of Port Jefferson, Saint James and South Setauket. "
179,Robert Murphy,Fox Footy,Fox Footy is an Australian rules football subscription television channel dedicated to screening Australian rules football matches and related programming. 
180,Ron Wyden,Humanitarian Law Project,"The Humanitarian Law Project is a U.S.-based non-profit organization, working to protect human rights and promote ""the peaceful resolution of conflict by using established international human rights laws and humanitarian law.""
"
181,Ron Wyden,Securus Technologies,"Securus Technologies is a United States-based prison technology company. It was founded in 1986 and is headquartered in Dallas, Texas with regional offices located in Carrollton, Texas, Allen, Texas and Atlanta, Georgia. "
182,Ron Wyden,Strand Bookstore,"The Strand Bookstore is an independent bookstore located at 828 Broadway, at the corner of East 12th Street in the East Village neighborhood of Manhattan, New York City, two blocks south of Union Square. "
183,Paul Weaver,Air National Guard,"The Air National Guard, also known as the Air Guard, is a federal military reserve force as well as the militia air force of each U.S. state, the District of Columbia, the Commonwealth of Puerto Rico, and the territories of Guam and the U.S. "
184,Paul Weaver,Westminster School of Art,"The Westminster School of Art was an art school in Westminster, London."
185,Sam Carpenter,Adela Investment Company,The Adela Investment Company was a private investment corporation created by multinational companies to promote economic and social development in Latin America and the Caribbean. Adela operated from 1965 to 1980 and was dissolved in 1994. 
186,Steven Reynolds,Alarm Will Sound,"Alarm Will Sound is a 20-member chamber orchestra that focuses on recordings and performances of contemporary classical music. Its performances have been described as ""equal parts exuberance, nonchalance, and virtuosity"" by the Financial Times and as ""a triumph of ensemble playing"" by the San Francisco Chronicle. "
187,Pat Toomey,Crow Holdings,"Crow Family Holdings was formed as a family office to own and manage the assets of the Trammell Crow family. It was founded in 1991 and is based in Dallas, Texas. "
188,Pat Toomey,The Warrell Corporation,"The Warrell Corporation is a confectionery manufacturing company based in Camp Hill, Pennsylvania."
189,Pat Toomey,Club for Growth,"The Club for Growth is a 501 conservative organization active in the United States, with an agenda focused on cutting taxes and other economic issues. "
190,Katie McGinty,Saint Joseph's University,"Saint Joseph's University is a private, coeducational Roman Catholic Jesuit university located in Philadelphia, Pennsylvania. The university was founded by the Society of Jesus in 1851 as Saint Joseph's College. "
191,Joe Sestak,Jack M. Barrack Hebrew Academy,"Jack M. Barrack Hebrew Academy is a coeducational college-preparatory and religiously pluralistic Jewish day school for grades 6 through 12, located in Bryn Mawr, Pennsylvania.
"
192,Joe Sestak,Cardinal O'Hara High School,Cardinal O'Hara High School is a coeducational Catholic High School of the Archdiocese of Philadelphia. The school is named after John Francis O'Hara who was Roman Catholic Archbishop of Philadelphia from 1951 to 1960. 
193,Joe Sestak,Community College of the Air Force,The Community College of the Air Force is a federal program offered by the United States Air Force which grants two-year Associate of Applied Science degrees in association with Air University. 
194,John Fetterman,Albright College,"Albright College is a private, co-educational, liberal arts college. It was founded in 1856 and is located in Reading, Pennsylvania, United States.
"
195,John Fetterman,Appalachian Volunteers,"Appalachian Volunteers was a non-profit organization engaged in community development projects in central Appalachia that evolved into a controversial community organizing network, with a reputation that went ""from self-help to sedition"" as its staff developed from ""reformers to radicals,"" in the words of one historian, in the brief period between 1964 and 1970 during the War on Poverty."
196,Patrick Leahy,"ECHO, Leahy Center for Lake Champlain","ECHO, Leahy Center for Lake Champlain, formerly the Lake Champlain Basin Science Center, is an innovative science and nature center located on the Burlington waterfront in northern Vermont. "
197,Patrick Leahy,Humanitarian Law Project,"The Humanitarian Law Project is a U.S.-based non-profit organization, working to protect human rights and promote ""the peaceful resolution of conflict by using established international human rights laws and humanitarian law.""
"
198,Patrick Leahy,United States Sentencing Commission,The United States Sentencing Commission is an independent agency of the judicial branch of the federal government of the United States. It is responsible for articulating the sentencing guidelines for the United States federal courts. 
199,Patty Murray,Bothell High School,"Bothell High School is located in Bothell, Washington, United States, and is one of four high schools in the Northshore School District. Approximately 1,500 students in grades nine through 12 attend the school."
200,Patty Murray,Top Pot Doughnuts,"Top Pot Doughnuts is a chain of coffee and doughnut cafes started in the Capitol Hill neighborhood of Seattle, Washington.
Top Pot began in February 2002 and was started by brothers Mark and Michael Klebeck."
201,Patty Murray,Suquamish Museum,"The Suquamish Museum is a museum located on the Port Madison Indian Reservation in Washington state. It preserves and displays relics and records related to the Suquamish Tribe, including artifacts from the Old Man House and the Baba'kwob site. "
202,Chris Vance,St Bede's Catholic College,"St Bede's Catholic College is a secondary school located in Lawrence Weston, Bristol, England. Since November 2011 it has been an Academy. The school also received a rating of outstanding during an Ofsted inspection in 2007. "
203,Mike Luke,Canada national rugby union team,"The Canada national rugby union team is governed by Rugby Canada, and play in red and white. Canada is classified by World Rugby as a tier two rugby nation. There are ten tier one nations, and thirteen tier two nations. Canada competes in competitions such as the Americas Rugby Championship and the Rugby World Cup.
Canada has been playing international rugby since their 1932 debut against Japan. "
204,Mike Luke,Los Angeles Lakers,"The Los Angeles Lakers are an American professional basketball team based in Los Angeles. The Lakers compete in the National Basketball Association, as a member of the league's Western Conference in the Pacific Division. "
205,Mike Luke,Syracuse Crunch,"The Syracuse Crunch are a professional ice hockey team in the American Hockey League. They play in Syracuse, New York, at the Oncenter War Memorial Arena. They are the primary development affiliate of the National Hockey League's Tampa Bay Lightning."
206,Mohammad Said,Iran Broadcasting University,"The Iran Broadcasting University formerly known as the Iran Broadcasting College is a public University in Tehran, Iran. It is affiliated to I.R.I.B and also has campuses in Qom and Dubai."
207,Mohammad Said,Transitional Islamic State of Afghanistan,"The Transitional Islamic State of Afghanistan, also known as the Afghan Transitional Authority, was the name of a temporary administration of Afghanistan put in place by the loya jirga of June 2002. It succeeded the Islamic State of Afghanistan."
208,Donna Rae,Wiggle High5 Pro Cycling,"Wiggle High5 Pro Cycling is a British professional cycling team based in Belgium, which competes in elite road bicycle racing and track cycling events, such as the UCI Women's Road World Cup. "
209,Sam Wright,"Notre Dame College, Shepparton","Notre Dame College is a co-educational secondary school of the Roman Catholic faith in Shepparton, Victoria, Australia. It is located on two well facilitated campuses: Knight Street Campus, this houses the Year 7, 8, and 10–12. "
210,Sam Wright,Katamatite Football Club,"The Katamatite Football Club, nicknamed the Tigers, is an Australian rules football club playing in the Picola &amp; District Football League. The club is based in the small Victorian town of Katamatite.
"
211,Sam Wright,North Melbourne Football Club,"The North Melbourne Football Club, nicknamed the Kangaroos or less formally the Roos, the Kangas or North, is the fourth oldest Australian rules football club in the Australian Football League and is one of the oldest sporting clubs in Australia and the world. "
212,Chuck Jackson,Wand Records,"Wand Records was started by Florence Greenberg in 1961 as a subsidiary of Scepter Records. Artists on Wand Records included The Isley Brothers, The Kingsmen, Mel Wynn &amp; the Rhythm Aces, Chuck Jackson, and the Monzas.
"
213,Chuck Jackson,Ace Records,"Ace Records Ltd. was started in 1978. Initially the company only gained permission from the label based in Mississippi to use the name in the UK, but eventually also acquired the rights to publish their recordings. "
214,Chuck Jackson,Scepter Records,Scepter Records is an American record company founded in 1959 by Florence Greenberg.
215,Russ Feingold,Town Hall Los Angeles,"Town Hall Los Angeles is a non-profit speaker's forum based in Los Angeles. It was founded in 1937. It has hosted over 3500 unpaid speakers, including
John F Kennedy
Robert F Kennedy
Ronald Reagan
Condoleezza Rice
General Anthony Zinni
Russ Feingold
Dianne Feinstein
Arnold Schwarzenegger
Prince Turki Al-Faisal"
216,Russ Feingold,Joseph A. Craig High School,"Joseph A. Craig High School is a public high school located in the city of Janesville, Wisconsin. Constructed in 1954 as Janesville Senior High School, it was renamed Craig High School in 1967 when George S. "
217,Russ Feingold,Humanitarian Law Project,"The Humanitarian Law Project is a U.S.-based non-profit organization, working to protect human rights and promote ""the peaceful resolution of conflict by using established international human rights laws and humanitarian law.""
"
